Id;Gesture;Precision;Recall;F1_score;Support
102;thumb_up;1.0;0.37;0.54;75.0
103;fist;0.95;1.0;0.97;75.0
103;l;0.94;1.0;0.97;75.0
103;ok;1.0;0.56;0.72;75.0
103;palm;0.65;1.0;0.79;75.0
103;thumb_up;1.0;0.79;0.88;75.0
104;fist;0.17;0.4;0.24;75.0
104;l;0.0;0.0;0.0;75.0
104;ok;0.0;0.0;0.0;75.0
104;palm;0.15;0.4;0.22;75.0
104;thumb_up;0.0;0.0;0.0;75.0
105;fist;0.0;0.0;0.0;75.0
105;l;0.0;0.0;0.0;75.0
105;ok;0.0;0.0;0.0;75.0
105;palm;0.0;0.0;0.0;75.0
105;thumb_up;0.2;1.0;0.33;75.0
106;fist;0.2;1.0;0.33;75.0
106;l;0.0;0.0;0.0;75.0
106;ok;0.0;0.0;0.0;75.0
106;palm;0.0;0.0;0.0;75.0
106;thumb_up;0.0;0.0;0.0;75.0
107;fist;1.0;1.0;1.0;75.0
107;l;1.0;1.0;1.0;75.0
107;ok;1.0;1.0;1.0;75.0
107;palm;1.0;1.0;1.0;75.0
107;thumb_up;1.0;1.0;1.0;75.0
108;fist;1.0;1.0;1.0;75.0
108;l;1.0;1.0;1.0;75.0
108;ok;1.0;0.97;0.99;75.0
108;palm;0.97;1.0;0.99;75.0
108;thumb_up;1.0;1.0;1.0;75.0
109;fist;0.0;0.0;0.0;75.0
109;l;0.0;0.0;0.0;75.0
109;ok;0.0;0.0;0.0;75.0
109;palm;0.2;1.0;0.33;75.0
109;thumb_up;0.0;0.0;0.0;75.0
110;fist;0.0;0.0;0.0;75.0
110;l;0.0;0.0;0.0;75.0
110;ok;0.0;0.0;0.0;75.0
110;palm;0.2;1.0;0.33;75.0
110;thumb_up;0.0;0.0;0.0;75.0
111;fist;1.0;0.03;0.05;75.0
111;l;0.0;0.0;0.0;75.0
111;ok;0.26;0.84;0.4;75.0
111;palm;0.3;0.52;0.38;75.0
111;thumb_up;0.0;0.0;0.0;75.0
112;fist;0.0;0.0;0.0;75.0
112;l;0.11;0.01;0.02;75.0
112;ok;0.09;0.05;0.07;75.0
112;palm;0.15;0.63;0.24;75.0
112;thumb_up;0.0;0.0;0.0;75.0
113;fist;0.3;0.36;0.33;75.0
113;l;0.0;0.0;0.0;75.0
113;ok;0.16;0.61;0.25;75.0
113;palm;0.0;0.0;0.0;75.0
113;thumb_up;0.0;0.0;0.0;75.0
114;fist;0.31;0.69;0.43;75.0
114;l;0.26;0.72;0.38;75.0
114;ok;0.0;0.0;0.0;75.0
114;palm;0.0;0.0;0.0;75.0
114;thumb_up;0.0;0.0;0.0;75.0
115;fist;0.0;0.0;0.0;75.0
115;l;0.2;1.0;0.33;75.0
115;ok;0.0;0.0;0.0;75.0
115;palm;0.0;0.0;0.0;75.0
115;thumb_up;0.0;0.0;0.0;75.0
